03:11.698	Wasabihulk is afflicted by Starsplinter from L'ura

03:12.263	Angralock is afflicted by Starsplinter from L'ura

03:13.984	Fairies is afflicted by Starsplinter from L'ura

03:14.706	L'ura's Starsplinter fades from Wasabihulk

03:15.265	L'ura's Starsplinter fades from Angralock

03:16.287	Dîvôráh is afflicted by Starsplinter from L'ura

03:16.983	L'ura's Starsplinter fades from Fairies

03:18.025	Amadis is afflicted by Starsplinter from L'ura

03:19.186	Palacetamòl is afflicted by Starsplinter from L'ura

03:19.297	L'ura's Starsplinter fades from Dîvôráh

03:19.737	 Âero is afflicted by Starsplinter from L'ura

03:21.032	L'ura's Starsplinter fades from Amadis

03:21.462	Brasoevo is afflicted by Starsplinter from L'ura

03:22.053	Fevopriest is afflicted by Starsplinter from L'ura

03:22.186	L'ura's Starsplinter fades from Palacetamòl

03:22.745	L'ura's Starsplinter fades from  Âero

03:23.178	Hiromi is afflicted by Starsplinter from L'ura

03:23.771	Bruckidh is afflicted by Starsplinter from L'ura

03:24.471	L'ura's Starsplinter fades from Brasoevo

03:24.909	Zlowdk is afflicted by Starsplinter from L'ura

03:25.038	L'ura's Starsplinter fades from Fevopriest

03:26.089	Pestivator is afflicted by Starsplinter from L'ura

03:26.193	L'ura's Starsplinter fades from Hiromi

03:26.636	Wasabihulk is afflicted by Starsplinter from L'ura

03:26.781	L'ura's Starsplinter fades from Bruckidh

03:27.784	Palacetamòl is afflicted by Starsplinter from L'ura

03:27.920	L'ura's Starsplinter fades from Zlowdk

03:29.100	L'ura's Starsplinter fades from Pestivator

03:29.543	Merodrac is afflicted by Starsplinter from L'ura

03:29.640	L'ura's Starsplinter fades from Wasabihulk

03:30.786	L'ura's Starsplinter fades from Palacetamòl

03:31.245	Amadis is afflicted by Starsplinter from L'ura

03:31.839	Palacetamòl is afflicted by Starsplinter from L'ura

03:32.401	Dîvôráh is afflicted by Starsplinter from L'ura

03:32.529	L'ura's Starsplinter fades from Merodrac

03:33.548	Simplydruid is afflicted by Starsplinter from L'ura

03:34.263	L'ura's Starsplinter fades from Amadis

03:34.832	L'ura's Starsplinter fades from Palacetamòl

03:35.395	L'ura's Starsplinter fades from Dîvôráh

03:36.567	L'ura's Starsplinter fades from Simplydruid

03:37.553	Pestivator is afflicted by Starsplinter from L'ura

03:37.589	Merodrac is afflicted by Starsplinter from L'ura

03:37.615	 Shades is afflicted by Starsplinter from L'ura

03:37.637	Amadis is afflicted by Starsplinter from L'ura

03:37.695	Maruu is afflicted by Starsplinter from L'ura

03:37.829	Vádas is afflicted by Starsplinter from L'ura

03:37.865	Bruckidh is afflicted by Starsplinter from L'ura

03:37.882	Augusttina is afflicted by Starsplinter from L'ura

03:37.942	Sargrathes is afflicted by Starsplinter from L'ura

03:37.963	Palacetamòl is afflicted by Starsplinter from L'ura

03:38.019	Wasabihulk is afflicted by Starsplinter from L'ura
03:11.118	Merodrac is afflicted by Starsplinter from L'ura

03:12.843	Augusttina is afflicted by Starsplinter from L'ura

03:13.427	Hiromi is afflicted by Starsplinter from L'ura

03:14.157	L'ura's Starsplinter fades from Merodrac

